{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.187882 + 0.0836549 I, -0.189813 - 0.0673418 I, 0.315222 + 0.0166812 I, -0.172029 - 0.531001 I, 0.318129 + 0.284369 I, 0.528654 + 0.210694 I},
{0.35128 + 0.138893 I, -0.372137 - 0.345958 I, 0.488251 + 0.288299 I, -0.194809 - 0.252323 I, 0.135443 + 0.271576 I, 0.148786 + 0.248557 I},
{0.0631573 + 0.0206567 I, -0.0729518 - 0.399692 I, 0.38809 + 0.179512 I, -0.401102 - 0.456633 I, 0.258802 + 0.354662 I, 0.162906 + 0.242841 I},
{0.0978877 + 0.0051647 I, -0.526312 - 0.408388 I, 0.167341 + 0.189237 I, -0.298149 - 0.079118 I, 0.48615 + 0.3469 I, 0.172194 + 0.0361825 I},
{0.377703 + 0.110979 I, -0.143241 - 0.11933 I, 0.237039 + 0.476269 I, -0.135397 - 0.200857 I, 0.314927 + 0.501544 I, 0.343284 + 0.00115652 I},
{0.281835 + 0.408659 I, -0.278164 - 0.320187 I, 0.0270764 + 0.237558 I, -0.05028 - 0.0465586 I, 0.44752 + 0.410221 I, 0.351227 + 0.141045 I},
{0.430662 + 0.442957 I, -0.333104 - 0.139499 I, 0.0164812 + 0.081068 I, -0.331144 - 0.0721485 I, 0.312219 + 0.290022 I, 0.223969 + 0.366661 I},
{0.327099 + 0.388744 I, -0.126458 - 0.154045 I, 0.0755475 + 0.630578 I, -0.453937 - 0.126612 I, 0.135937 + 0.0390158 I, 0.186482 + 0.148192 I},
{0.425983 + 0.398366 I, -0.38646 - 0.137369 I, 0.236825 + 0.115584 I, -0.119878 - 0.353854 I, 0.173473 + 0.0497363 I, 0.393939 + 0.307957 I},
{0.252922 + 0.153583 I, -0.117279 - 0.531649 I, 0.112099 + 0.490757 I, -0.075142 - 0.222591 I, 0.374977 + 0.334529 I, 0.161688 + 0.169633 I},
{0.00973329 + 0.326946 I, -0.0649362 - 0.00244489 I, 0.406504 + 0.116711 I, -0.0933642 - 0.472365 I, 0.369207 + 0.150037 I, 0.336809 + 0.453664 I},
{0.519604 + 0.10675 I, -0.172902 - 0.194479 I, 0.271561 + 0.408083 I, -0.23157 - 0.480547 I, 0.243677 + 0.184321 I, 0.0693113 + 0.167078 I},
{0.509537 + 0.026393 I, -0.47612 - 0.081005 I, 0.0931854 + 0.154927 I, -0.126313 - 0.0363006 I, 0.00613934 + 0.451057 I, 0.104191 + 0.492055 I},
{0.108416 + 0.492871 I, -0.141039 - 0.366195 I, 0.382186 + 0.469597 I, -0.0707361 - 0.21451 I, 0.353919 + 0.215129 I, 0.0415171 + 0.0215775 I},
{0.293078 + 0.199104 I, -0.346525 - 0.0914919 I, 0.0467173 + 0.188047 I, -0.338133 - 0.268599 I, 0.479645 + 0.203568 I, 0.487947 + 0.111344 I},
{0.0846496 + 0.289894 I, -0.137062 - 0.379806 I, 0.514213 + 0.367375 I, -0.249328 - 0.116734 I, 0.373881 + 0.270622 I, 0.207205 + 0.120956 I},
{0.147644 + 0.332236 I, -0.232534 - 0.379896 I, 0.28789 + 0.226416 I, -0.353081 - 0.19199 I, 0.26924 + 0.308362 I, 0.109219 + 0.440737 I},
{0.450266 + 0.318807 I, -0.0870249 - 0.155194 I, 0.0903507 + 0.446467 I, -0.109982 - 0.148078 I, 0.438886 + 0.459168 I, 0.0277184 + 0.134985 I},
{0.10188 + 0.375544 I, -0.290073 - 0.0127578 I, 0.113262 + 0.512941 I, -0.0826822 - 0.227913 I, 0.23841 + 0.371787 I, 0.407501 + 0.261615 I},
{0.299114 + 0.45273 I, -0.33056 - 0.291599 I, 0.207301 + 0.016128 I, -0.0590718 - 0.28135 I, 0.413354 + 0.258201 I, 0.372697 + 0.0946223 I},
{0.0956246 + 0.147207 I, -0.395727 - 0.109631 I, 0.362034 + 0.385232 I, -0.267237 - 0.430052 I, 0.189048 + 0.191394 I, 0.208033 + 0.386116 I},
{0.129411 + 0.429017 I, -0.357628 - 0.163483 I, 0.226039 + 0.209153 I, -0.493093 - 0.163982 I, 0.339247 + 0.151357 I, 0.159895 + 0.340792 I},
{0.342583 + 0.0204481 I, -0.113273 - 0.393925 I, 0.203678 + 0.416236 I, -0.130513 - 0.307005 I, 0.380686 + 0.402936 I, 0.199732 + 0.202526 I},
{0.275916 + 0.452172 I, -0.282029 - 0.338431 I, 0.366203 + 0.39288 I, -0.176083 - 0.256846 I, 0.330758 + 0.0764715 I, 0.141434 + 0.0681748 I},
{0.509083 + 0.275139 I, -0.240391 - 0.0431517 I, 0.447883 + 0.27123 I, -0.0767836 - 0.0699818 I, 0.021686 + 0.444468 I, 0.343254 + 0.0684117 I},
{0.29079 + 0.402405 I, -0.327729 - 0.461332 I, 0.328473 + 0.179013 I, -0.019021 - 0.366054 I, 0.297246 + 0.110588 I, 0.00851733 + 0.241501 I},
{0.15546 + 0.205201 I, -0.408805 - 0.0465275 I, 0.425463 + 0.053686 I, -0.435723 - 0.00474941 I, 0.32279 + 0.314709 I, 0.231931 + 0.365558 I},
{0.391788 + 0.169864 I, -0.336476 - 0.377943 I, 0.293926 + 0.388272 I, -0.107184 - 0.231685 I, 0.122712 + 0.204809 I, 0.384685 + 0.233002 I},
{0.264848 + 0.345724 I, -0.38228 - 0.0563447 I, 0.430246 + 0.127215 I, -0.14746 - 0.356946 I, 0.330306 + 0.346383 I, 0.155468 + 0.239403 I},
{0.404823 + 0.405879 I, -0.164009 - 0.179293 I, 0.134934 + 0.331189 I, -0.248864 - 0.038733 I, 0.367773 + 0.327026 I, 0.144198 + 0.39751 I},
{0.324932 + 0.319716 I, -0.0698062 - 0.204845 I, 0.284626 + 0.348242 I, -0.010648 - 0.198312 I, 0.270149 + 0.473956 I, 0.255426 + 0.375212 I},
{0.166682 + 0.241964 I, -0.260619 - 0.352149 I, 0.0886667 + 0.095931 I, -0.431056 - 0.275029 I, 0.315617 + 0.181872 I, 0.388294 + 0.399701 I},
{0.28025 + 0.383183 I, -0.280923 - 0.336845 I, 0.145373 + 0.391619 I, -0.183633 - 0.287322 I, 0.234309 + 0.36799 I, 0.101586 + 0.301391 I},
{0.0326262 + 0.320107 I, -0.00519863 - 0.445622 I, 0.417702 + 0.412153 I, -0.0240224 - 0.0819638 I, 0.106542 + 0.119457 I, 0.340756 + 0.4522 I},
{0.192664 + 0.568681 I, -0.0942844 - 0.183475 I, 0.142043 + 0.187211 I, -0.0949185 - 0.370504 I, 0.560034 + 0.139146 I, 0.242748 + 0.0591239 I},
{0.0175088 + 0.567832 I, -0.384783 - 0.199123 I, 0.170205 + 0.127775 I, -0.288764 - 0.0906828 I, 0.171948 + 0.316914 I, 0.00193004 + 0.471852 I},
{0.146401 + 0.388251 I, -0.337332 - 0.0430936 I, 0.393927 + 0.397031 I, -0.394302 - 0.0890324 I, 0.0757957 + 0.303115 I, 0.213774 + 0.304371 I},
{0.397331 + 0.00374578 I, -0.14934 - 0.111533 I, 0.0305158 + 0.302348 I, -0.403767 - 0.400483 I, 0.363729 + 0.019485 I, 0.411857 + 0.298844 I},
{0.128271 + 0.0904145 I, -0.411054 - 0.113193 I, 0.257339 + 0.351945 I, -0.443224 - 0.00383084 I, 0.425459 + 0.170262 I, 0.3332 + 0.293286 I},
{0.0341367 + 0.257924 I, -0.239506 - 0.494015 I, 0.265256 + 0.321194 I, -0.189722 - 0.244377 I, 0.32773 + 0.148206 I, 0.376759 + 0.30056 I},
{0.294833 + 0.438742 I, -0.280525 - 0.0962792 I, 0.104332 + 0.437812 I, -0.314338 - 0.134461 I, 0.040549 + 0.43152 I, 0.0324035 + 0.352504 I},
{0.504064 + 0.112696 I, -0.115788 - 0.322712 I, 0.317316 + 0.0514289 I, -0.0238577 - 0.351761 I, 0.180923 + 0.151137 I, 0.483462 + 0.314194 I},
{0.43502 + 0.1666 I, -0.0461359 - 0.138893 I, 0.363383 + 0.13356 I, -0.461167 - 0.37949 I, 0.377217 + 0.301711 I, 0.140674 + 0.0435569 I},
{0.0209297 + 0.254852 I, -0.290169 - 0.036244 I, 0.190251 + 0.31159 I, -0.179191 - 0.457513 I, 0.460606 + 0.194801 I, 0.471647 + 0.0428136 I},
{0.144279 + 0.118489 I, -0.383143 - 0.384224 I, 0.461157 + 0.350945 I, -0.109223 - 0.397896 I, 0.13964 + 0.199733 I, 0.122518 + 0.300391 I},
{0.487048 + 0.160821 I, -0.343835 - 0.334503 I, 0.250375 + 0.112746 I, -0.487042 - 0.0780042 I, 0.0143492 + 0.376656 I, 0.182008 + 0.113621 I},
{0.398349 + 0.244129 I, -0.35024 - 0.1815 I, 0.0872059 + 0.303633 I, -0.0802153 - 0.343918 I, 0.0333179 + 0.388151 I, 0.271869 + 0.419419 I},
{0.205897 + 0.393191 I, -0.208048 - 0.11041 I, 0.246436 + 0.216327 I, -0.202413 - 0.252342 I, 0.0891238 + 0.485476 I, 0.534578 + 0.0771581 I},
{0.433127 + 0.121173 I, -0.0660549 - 0.469067 I, 0.345792 + 0.181763 I, -0.041952 - 0.302083 I, 0.0729685 + 0.151672 I, 0.328298 + 0.437719 I},
{0.343927 + 0.239035 I, -0.0582797 - 0.414061 I, 0.424446 + 0.379687 I, -0.342944 - 0.0956721 I, 0.000394734 + 0.337045 I, 0.0242473 + 0.290629 I},
{0.034781 + 0.192702 I, -0.391357 - 0.427523 I, 0.0254606 + 0.0116459 I, -0.383569 - 0.201711 I, 0.405054 + 0.0796825 I, 0.280686 + 0.433499 I},
{0.393936 + 0.207436 I, -0.260688 - 0.400942 I, 0.215111 + 0.277372 I, -0.342541 - 0.24952 I, 0.162292 + 0.172222 I, 0.262199 + 0.381474 I},
{0.185452 + 0.3672 I, -0.306906 - 0.211312 I, 0.424331 + 0.450611 I, -0.103615 - 0.409764 I, 0.164446 + 0.176197 I, 0.268139 + 0.0138644 I},
{0.408194 + 0.0395619 I, -0.303763 - 0.382175 I, 0.210367 + 0.0376096 I, -0.127511 - 0.292564 I, 0.167816 + 0.409045 I, 0.249349 + 0.433943 I},
{0.339129 + 0.204847 I, -0.181694 - 0.186063 I, 0.0167426 + 0.337906 I, -0.114671 - 0.393535 I, 0.417741 + 0.39829 I, 0.399618 + 0.00899019 I},
{0.135553 + 0.168132 I, -0.393622 - 0.335252 I, 0.221357 + 0.397953 I, -0.428894 - 0.257295 I, 0.119943 + 0.17372 I, 0.304755 + 0.301774 I},
{0.0392948 + 0.133284 I, -0.463066 - 0.438383 I, 0.00326362 + 0.519651 I, -0.375786 - 0.107763 I, 0.264053 + 0.0436676 I, 0.228523 + 0.165385 I},
{0.391141 + 0.0185286 I, -0.318701 - 0.136197 I, 0.342924 + 0.277961 I, -0.241281 - 0.224294 I, 0.391402 + 0.201304 I, 0.375381 + 0.297543 I},
{0.0543387 + 0.118542 I, -0.400452 - 0.231729 I, 0.366461 + 0.269682 I, -0.416135 - 0.385855 I, 0.105331 + 0.112422 I, 0.111678 + 0.451282 I},
{0.135429 + 0.183162 I, -0.286016 - 0.137463 I, 0.363524 + 0.456092 I, -0.211824 - 0.293409 I, 0.0089355 + 0.404713 I, 0.45465 + 0.0755078 I},
{0.662666 + 0.093464 I, -0.0697304 - 0.159988 I, 0.526673 + 0.0578932 I, -0.17696 - 0.225814 I, 0.0212492 + 0.236344 I, 0.315843 + 0.0506938 I},
{0.38642 + 0.312876 I, -0.412202 - 0.11415 I, 0.379957 + 0.186098 I, -0.262228 - 0.0186946 I, 0.151325 + 0.391037 I, 0.376772 + 0.0630018 I},
{0.411881 + 0.00271733 I, -0.235584 - 0.254377 I, 0.422129 + 0.392909 I, -0.107657 - 0.268437 I, 0.0704724 + 0.4804 I, 0.182341 + 0.157868 I},
{0.0243209 + 0.186104 I, -0.194007 - 0.282391 I, 0.457435 + 0.212816 I, -0.093522 - 0.308625 I, 0.00409191 + 0.251752 I, 0.418515 + 0.500307 I},
{0.0389609 + 0.0329731 I, -0.306288 - 0.428324 I, 0.196567 + 0.0402712 I, -0.443576 - 0.15222 I, 0.169769 + 0.469874 I, 0.162462 + 0.428873 I},
{0.0368952 + 0.442546 I, -0.0991749 - 0.431858 I, 0.473843 + 0.0942523 I, -0.0204248 - 0.0715058 I, 0.38122 + 0.454857 I, 0.0107187 + 0.123186 I},
{0.456896 + 0.289491 I, -0.0320704 - 0.369062 I, 0.458829 + 0.18689 I, -0.426534 - 0.293312 I, 0.127151 + 0.100276 I, 0.171899 + 0.0319272 I},
{0.00569517 + 0.0116121 I, -0.264121 - 0.081497 I, 0.307856 + 0.311325 I, -0.409281 - 0.414989 I, 0.440331 + 0.0567414 I, 0.280535 + 0.340874 I},
{0.259813 + 0.160394 I, -0.300586 - 0.365985 I, 0.129171 + 0.44569 I, -0.0395985 - 0.264842 I, 0.00024162 + 0.288215 I, 0.461437 + 0.315353 I},
{0.48902 + 0.15988 I, -0.0557384 - 0.0866568 I, 0.373638 + 0.00483489 I, -0.32366 - 0.497597 I, 0.220158 + 0.371171 I, 0.0886126 + 0.196481 I},
{0.411577 + 0.281018 I, -0.0666192 - 0.177065 I, 0.398027 + 0.041132 I, -0.386168 - 0.242725 I, 0.466489 + 0.306646 I, 0.188768 + 0.0201721 I},
{0.119081 + 0.153062 I, -0.349984 - 0.205347 I, 0.368541 + 0.359772 I, -0.29136 - 0.245618 I, 0.118554 + 0.405119 I, 0.0202719 + 0.456806 I},
{0.448661 + 0.33548 I, -0.19235 - 0.0155043 I, 0.140863 + 0.194266 I, -0.390985 - 0.368405 I, 0.443709 + 0.218589 I, 0.0912341 + 0.223074 I},
{0.507561 + 0.0325414 I, -0.272915 - 0.359548 I, 0.485607 + 0.0693094 I, -0.23598 - 0.170681 I, 0.160403 + 0.230704 I, 0.0313904 + 0.363579 I},
{0.0245418 + 0.421672 I, -0.2253 - 0.144712 I, 0.443336 + 0.344336 I, -0.200661 - 0.267135 I, 0.256685 + 0.338755 I, 0.362695 + 0.104686 I},
{0.202261 + 0.0675629 I, -0.255026 - 0.546552 I, 0.293309 + 0.00600487 I, -0.25927 - 0.00907027 I, 0.139471 + 0.427926 I, 0.0121447 + 0.484437 I},
{0.169185 + 0.070124 I, -0.166818 - 0.22861 I, 0.401632 + 0.360308 I, -0.461633 - 0.445702 I, 0.423839 + 0.00729471 I, 0.0386129 + 0.0479453 I},
{0.478016 + 0.137684 I, -0.105457 - 0.204183 I, 0.187558 + 0.492451 I, -0.267736 - 0.138768 I, 0.34971 + 0.406877 I, 0.0890667 + 0.187955 I},
{0.396163 + 0.248135 I, -0.277367 - 0.431243 I, 0.239212 + 0.294373 I, -0.360895 - 0.18384 I, 0.419908 + 0.0813424 I, 0.0674579 + 0.152218 I},
{0.248753 + 0.2829 I, -0.170294 - 0.307988 I, 0.417908 + 0.373054 I, -0.289815 - 0.0170319 I, 0.443418 + 0.33106 I, 0.168773 + 0.0378116 I},
{0.437236 + 0.0517766 I, -0.290488 - 0.116012 I, 0.00336188 + 0.408165 I, -0.419742 - 0.0154332 I, 0.465728 + 0.155926 I, 0.351861 + 0.0157588 I},
{0.298608 + 0.406666 I, -0.476027 - 0.0942834 I, 0.0399828 + 0.350289 I, -0.0316133 - 0.101432 I, 0.281237 + 0.33034 I, 0.407067 + 0.143019 I},
{0.392352 + 0.187046 I, -0.35708 - 0.0255614 I, 0.0691563 + 0.197042 I, -0.190626 - 0.361926 I, 0.301692 + 0.117308 I, 0.443237 + 0.413206 I},
{0.436021 + 0.454829 I, -0.0756811 - 0.435116 I, 0.271556 + 0.0413841 I, -0.157743 - 0.413348 I, 0.301963 + 0.0658498 I, 0.0372721 + 0.19965 I},
{0.188624 + 0.0501792 I, -0.059279 - 0.267673 I, 0.111811 + 0.358131 I, -0.453575 - 0.0720438 I, 0.136754 + 0.456467 I, 0.388449 + 0.396364 I},
{0.0696676 + 0.0132312 I, -0.0776429 - 0.121302 I, 0.184393 + 0.221607 I, -0.339311 - 0.429036 I, 0.346598 + 0.175991 I, 0.448969 + 0.48912 I},
{0.420046 + 0.287425 I, -0.0632234 - 0.426941 I, 0.12934 + 0.365389 I, -0.495706 - 0.168753 I, 0.254881 + 0.0873842 I, 0.238351 + 0.0286499 I},
{0.431948 + 0.475158 I, -0.459473 - 0.243028 I, 0.188085 + 0.268895 I, -0.139365 - 0.00562743 I, 0.275586 + 0.0568014 I, 0.0142557 + 0.333101 I},
{0.210599 + 0.225094 I, -0.376718 - 0.045394 I, 0.373713 + 0.395614 I, -0.320321 - 0.319773 I, 0.177966 + 0.172304 I, 0.350571 + 0.275155 I},
{0.332303 + 0.0841953 I, -0.492519 - 0.162609 I, 0.489882 + 0.242224 I, -0.404034 - 0.335063 I, 0.114104 + 0.0473021 I, 0.0350381 + 0.151055 I},
{0.296974 + 0.363328 I, -0.145296 - 0.119226 I, 0.0759772 + 0.395436 I, -0.0137153 - 0.207854 I, 0.372853 + 0.0621129 I, 0.439074 + 0.450862 I},
{0.0518087 + 0.00468569 I, -0.0931709 - 0.491009 I, 0.121998 + 0.521097 I, -0.468655 - 0.0182913 I, 0.302429 + 0.125466 I, 0.345984 + 0.119226 I},
{0.063515 + 0.10563 I, -0.274279 - 0.19757 I, 0.082065 + 0.290354 I, -0.493464 - 0.492686 I, 0.384766 + 0.0287184 I, 0.279083 + 0.25788 I},
{0.186899 + 0.191978 I, -0.220486 - 0.357318 I, 0.412334 + 0.445536 I, -0.363949 - 0.168354 I, 0.0656037 + 0.396766 I, 0.0908966 + 0.229368 I},
{0.0312816 + 0.129184 I, -0.0678368 - 0.00357435 I, 0.185103 + 0.12755 I, -0.743298 - 0.534411 I, 0.190414 + 0.200507 I, 0.0143312 + 0.111506 I},
{0.458166 + 0.204486 I, -0.383556 - 0.0307791 I, 0.374073 + 0.0277456 I, -0.0265889 - 0.0443545 I, 0.487357 + 0.2651 I, 0.381094 + 0.0616778 I},
{0.483331 + 0.286882 I, -0.121836 - 0.070629 I, 0.227477 + 0.0576114 I, -0.46887 - 0.0902204 I, 0.368664 + 0.281536 I, 0.151554 + 0.378246 I},
{0.16005 + 0.445376 I, -0.0498344 - 0.00342925 I, 0.128574 + 0.255841 I, -0.336608 - 0.0406649 I, 0.4479 + 0.334857 I, 0.472591 + 0.201243 I},
{0.434605 + 0.0480836 I, -0.286242 - 0.186715 I, 0.429427 + 0.0968281 I, -0.200061 - 0.180392 I, 0.155512 + 0.355526 I, 0.26992 + 0.44969 I},
{0.490286 + 0.517618 I, -0.312412 - 0.179837 I, 0.355505 + 0.303706 I, -0.150333 - 0.139814 I, 0.211219 + 0.125117 I, 0.162198 + 0.120017 I},
{0.55304 + 0.211706 I, -0.0956472 - 0.083151 I, 0.386912 + 0.0177428 I, -0.248245 - 0.0921174 I, 0.270828 + 0.463748 I, 0.30159 + 0.18377 I},
{0.358404 + 0.0734711 I, -0.305494 - 0.364835 I, 0.259432 + 0.392292 I, -0.212566 - 0.171269 I, 0.418683 + 0.124338 I, 0.02019 + 0.390946 I},
{0.0670457 + 0.280752 I, -0.17859 - 0.400282 I, 0.402545 + 0.0791502 I, -0.0176862 - 0.250811 I, 0.0932986 + 0.26094 I, 0.403939 + 0.503066 I},
{0.374718 + 0.295011 I, -0.136482 - 0.220574 I, 0.208822 + 0.34878 I, -0.274557 - 0.338421 I, 0.324045 + 0.302342 I, 0.259182 + 0.29414 I},
{0.0858938 + 0.111096 I, -0.34335 - 0.22756 I, 0.0138089 + 0.624091 I, -0.349014 - 0.149669 I, 0.273166 + 0.216083 I, 0.333084 + 0.21085 I},
{0.189197 + 0.258932 I, -0.250078 - 0.149919 I, 0.253966 + 0.245481 I, -0.415015 - 0.182533 I, 0.352586 + 0.432522 I, 0.300758 + 0.28281 I},
{0.0918471 + 0.336399 I, -0.246368 - 0.482488 I, 0.0212914 + 0.470306 I, -0.0505394 - 0.0561805 I, 0.385485 + 0.346131 I, 0.119459 + 0.273642 I},
{0.0389818 + 0.0456737 I, -0.394438 - 0.0589847 I, 0.233853 + 0.413393 I, -0.382541 - 0.334069 I, 0.35739 + 0.267991 I, 0.181109 + 0.348518 I},
{0.442753 + 0.0444515 I, -0.383656 - 0.0389197 I, 0.181198 + 0.0670855 I, -0.349345 - 0.0039027 I, 0.451635 + 0.433986 I, 0.269773 + 0.169709 I},
{0.509101 + 0.0761694 I, -0.277893 - 0.323797 I, 0.0847511 + 0.240992 I, -0.154573 - 0.0336917 I, 0.174411 + 0.429572 I, 0.0610092 + 0.493947 I},
{0.337868 + 0.243991 I, -0.327798 - 0.271151 I, 0.340818 + 0.0253627 I, -0.341851 - 0.098307 I, 0.463283 + 0.0708766 I, 0.190019 + 0.382427 I},
{0.245313 + 0.11277 I, -0.330144 - 0.333559 I, 0.0697215 + 0.349637 I, -0.430298 - 0.0543071 I, 0.0210125 + 0.450872 I, 0.297569 + 0.315214 I},
{0.198244 + 0.0824905 I, -0.0341443 - 0.0561771 I, 0.127046 + 0.216082 I, -0.0155761 - 0.499708 I, 0.227945 + 0.511865 I, 0.201183 + 0.531367 I},
{0.38153 + 0.154195 I, -0.194931 - 0.0772291 I, 0.213422 + 0.1494 I, -0.148679 - 0.472693 I, 0.329813 + 0.350618 I, 0.249031 + 0.423741 I},
{0.478967 + 0.392368 I, -0.0630649 - 0.381544 I, 0.116556 + 0.124907 I, -0.0429893 - 0.2236 I, 0.269705 + 0.0866855 I, 0.458799 + 0.308707 I},
{0.328692 + 0.3936 I, -0.344338 - 0.287111 I, 0.193633 + 0.3233 I, -0.406775 - 0.200552 I, 0.205484 + 0.0136462 I, 0.343848 + 0.166418 I},
{0.134148 + 0.450689 I, -0.340126 - 0.229286 I, 0.0319986 + 0.377174 I, -0.129697 - 0.194709 I, 0.0713263 + 0.424241 I, 0.474469 + 0.0491832 I},
{0.31177 + 0.433413 I, -0.369343 - 0.0465324 I, 0.309097 + 0.291268 I, -0.248664 - 0.0760899 I, 0.000337026 + 0.188471 I, 0.406724 + 0.356967 I},
{0.273948 + 0.0421881 I, -0.238517 - 0.23245 I, 0.33807 + 0.411037 I, -0.0377523 - 0.209097 I, 0.433929 + 0.407558 I, 0.279805 + 0.226212 I},
{0.124611 + 0.557321 I, -0.466018 - 0.228944 I, 0.320354 + 0.227127 I, -0.23918 - 0.0272355 I, 0.105135 + 0.00806695 I, 0.334306 + 0.263126 I},
{0.336135 + 0.316544 I, -0.30368 - 0.0404024 I, 0.237734 + 0.169095 I, -0.24826 - 0.240144 I, 0.0637794 + 0.45334 I, 0.348276 + 0.397071 I},
{0.252424 + 0.109781 I, -0.211621 - 0.362345 I, 0.348945 + 0.393051 I, -0.252593 - 0.0121246 I, 0.42134 + 0.197312 I, 0.362603 + 0.244971 I},
{0.225825 + 0.044041 I, -0.0129119 - 0.110482 I, 0.326095 + 0.31176 I, -0.429738 - 0.401992 I, 0.176626 + 0.387789 I, 0.0936036 + 0.441075 I},
{0.377624 + 0.254089 I, -0.154151 - 0.172048 I, 0.336512 + 0.119337 I, -0.319553 - 0.255325 I, 0.424678 + 0.271321 I, 0.416196 + 0.132299 I},
{0.214223 + 0.409648 I, -0.39491 - 0.135828 I, 0.295093 + 0.373209 I, -0.339014 - 0.374055 I, 0.124957 + 0.111372 I, 0.244492 + 0.20709 I},
{0.0800166 + 0.308077 I, -0.372134 - 0.0811344 I, 0.463244 + 0.329252 I, -0.408614 - 0.026268 I, 0.0370946 + 0.371599 I, 0.320528 + 0.144092 I},
{0.251426 + 0.055907 I, -0.0232969 - 0.231014 I, 0.121767 + 0.209682 I, -0.0938636 - 0.335918 I, 0.407918 + 0.390288 I, 0.397276 + 0.471968 I},
{0.214877 + 0.220609 I, -0.468917 - 0.141278 I, 0.334626 + 0.464767 I, -0.319928 - 0.0704398 I, 0.436893 + 0.12987 I, 0.0923073 + 0.117284 I},
{0.0759979 + 0.116361 I, -0.0555245 - 0.366464 I, 0.409421 + 0.446949 I, -0.306674 - 0.426242 I, 0.105289 + 0.0830863 I, 0.329437 + 0.27142 I},
{0.00348167 + 0.360226 I, -0.181258 - 0.39142 I, 0.20095 + 0.144694 I, -0.135002 - 0.393696 I, 0.414376 + 0.363239 I, 0.381981 + 0.00785063 I},
{0.0330868 + 0.377847 I, -0.164989 - 0.401143 I, 0.166887 + 0.0583053 I, -0.0547887 - 0.272299 I, 0.549085 + 0.257187 I, 0.143652 + 0.413914 I},
